name,department,college,affiliation
Fred Kish,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Subhashish Bhattacharya,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
Juan Acosta Jaramillo,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources; Genetics and Genomics Academy
Fikret Isik,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources; Forestry and Environmental Resources; Genetics and Genomics Academy; N.C. Plant Sciences Initiative
Philip Bradford,"Textile Engineering, Chemistry and Science",Wilson College of Textiles,"Textile Engineering, Chemistry and Science; Advanced Self Powered Systems of Sensors and Technologies Center"
Omer Oralkan,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; N.C. Plant Sciences Initiative
Andrey Kuznetsov,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering; Genetics and Genomics Academy
Coby Schal,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Entomology and Plant Pathology; Genetics and Genomics Academy; Entomology and Plant Pathology; Center for Human Health and the Environment ; Entomology and Plant Pathology; Global One Health Academy
Shobhan Gaddameedhi,Biological Sciences,College of Sciences,Biological Sciences; Biological Sciences; Toxicology Programs; Comparative Medicine Institute; Biological Sciences; Center for Human Health and the Environment ; Genetics and Genomics Academy; Global One Health Academy; Biological Sciences; Environmental Health Science
Debjani Sihi,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; N.C. Plant Sciences Initiative
Radmila Sazdanovic,Mathematics,College of Sciences,Mathematics
Soonhye Park,"Science, Technology, Engineering, & Mathematics Education",College of Education,"Science, Technology, Engineering, & Mathematics Education"
Crystal Lee,Teacher Education and Learning Sciences,College of Education,Education; Teacher Education and Learning Sciences
Jeremiah Johnson,"Civil, Construction and Environmental Engineering",College of Engineering,"Energy Collaborative; Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative; KIETS Climate Leaders Program; Civil, Construction and Environmental Engineering; Sustainable Energy Systems and Policy"
Anderson de Queiroz,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global One Health Academy"
David Knazovicky,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Santosh Mishra,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences; Molecular Biomedical Sciences; Genetics and Genomics Academy
Benedict Lascelles,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Ronald Li,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Joshua Stern,College of Veterinary Medicine Administration,College of Veterinary Medicine,College of Veterinary Medicine Administration
Murthy Guddati,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Kursten Pierce,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Jeffrey Stonebraker,"Information Technology, Analytics, & Operations",Poole College of Management,"Management, Innovation and Entrepreneurship; Information Technology, Analytics, & Operations"
Peter Early,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Christopher Mariani,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Natasha Olby,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Sung Woo Kim,Animal Science,College of Agriculture and Life Sciences,Animal Science; Global One Health Academy
Cristiana Boi,Chemical and Biomolecular Engineering,College of Engineering,Golden Leaf Biomanufacturing Training and Education Center; Chemical and Biomolecular Engineering
Paschalis Gkoupidenis,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Michael Dickey,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Chemical and Biomolecular Engineering; Center for Additive Manufacturing and Logistics; Chemical and Biomolecular Engineering; Coastal Resilience and Sustainability Initiative; Advanced Self Powered Systems of Sensors and Technologies Center; Global One Health Academy
Matthew Bryant,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Kai Lan,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Global One Health Academy
Matthew Bryant,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Matthew Bryant,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Maricar Aguilos,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources; Global One Health Academy
John King,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources
Nina Balke,Materials Science and Engineering,College of Engineering,Materials Science and Engineering
Mohamed Youssef,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; Biological and Agricultural Engineering; Coastal Resilience and Sustainability Initiative
Alice Cheng,Communication,College of Humanities and Social Sciences,Communication; Communication; Genetic Engineering and Society; Coastal Resilience and Sustainability Initiative; Global One Health Academy; Communication; Genetic Engineering and Society Center
Florian Laggner,Nuclear Engineering,College of Engineering,Nuclear Engineering
Kelly Oten,Forestry and Environmental Resources,College of Natural Resources,Entomology and Plant Pathology; Forestry and Environmental Resources
Thomas Shriver,Sociology and Anthropology,College of Humanities and Social Sciences,Sociology and Anthropology
Joel Ducoste,Engineering Research,College of Engineering,"Civil, Construction and Environmental Engineering; Civil, Construction and Environmental Engineering; Global Water, Sanitation and Hygiene; Engineering Research"
Moe Pourghaz,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Natalia Duque-Wilckens,Biological Sciences,College of Sciences,Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ; Genetics and Genomics Academy; Global One Health Academy; Comparative Medicine Institute
David Ambaras,History,College of Humanities and Social Sciences,History
Ali Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Sevgi Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Sevgi Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Sevgi Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Sevgi Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Amro Awad,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Secure Computing Institute
Jack Odle,Animal Science,College of Agriculture and Life Sciences,Animal Science; Comparative Medicine Institute
Kinga Unocic,Materials Science and Engineering,College of Engineering,Materials Science and Engineering
Vanessa Volpe,Psychology,College of Humanities and Social Sciences,Psychology; Global One Health Academy
Manuel Kleiner,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; Plant and Microbial Biology; Genetics and Genomics Academy; Comparative Medicine Institute; Center for Integrated Fungal Research; Global One Health Academy; Plant and Microbial Biology; Microbiomes and Complex Microbial Communities; N.C. Plant Sciences Initiative
Benjamin Underwood,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative"
Benjamin Underwood,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative"
Cassie Castorena,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Abdel-Fattah Seyam,"Textile and Apparel, Technology and Management",Wilson College of Textiles,"Textile and Apparel, Technology and Management"
Youngsoo Kim,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Youngsoo Kim,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Benjamin Underwood,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative"
Youngsoo Kim,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Youngsoo Kim,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Devorah Stowe,Population Health and Pathobiology,College of Veterinary Medicine,Population Health and Pathobiology
Gail Jones,"Science, Technology, Engineering, & Mathematics Education",College of Education,"Science, Technology, Engineering, & Mathematics Education; Science, Technology, Engineering, & Mathematics Education; Genetic Engineering and Society; Science, Technology, Engineering, & Mathematics Education; Genetic Engineering and Society Center; Science and Technologies for Phosphorus Sustainability Center; N.C. Plant Sciences Initiative"
Kelly Lynn Mulvey,Psychology,College of Humanities and Social Sciences,Psychology
Qingshan Wei,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Comparative Medicine Institute; Center for Human Health and the Environment ; Genetics and Genomics Academy; Chemical and Biomolecular Engineering; Emerging Plant Disease and Global Food Security; Global One Health Academy; N.C. Plant Sciences Initiative
Wei-Chen Chang,Chemistry,College of Sciences,Chemistry; Chemistry; Comparative Medicine Institute; Chemistry
Edward Breitschwerdt,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Genomic Sciences; Comparative Medicine Institute; Clinical Sciences; Coastal Resilience and Sustainability Initiative; Clinical Sciences; Global One Health Academy
Ricardo Maggi,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute; Global One Health Academy
Barbara Qurollo,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Katharina Stapelmann,Nuclear Engineering,College of Engineering,Nuclear Engineering; N.C. Plant Sciences Initiative; Global One Health Academy
Tatyana Smirnova,Chemistry,College of Sciences,Chemistry
Lirong Xiang,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; Biological and Agricultural Engineering; Global One Health Academy; N.C. Plant Sciences Initiative
Edward Breitschwerdt,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Genomic Sciences; Comparative Medicine Institute; Clinical Sciences; Coastal Resilience and Sustainability Initiative; Clinical Sciences; Global One Health Academy
Ricardo Maggi,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute; Global One Health Academy
Ryan Chiechi,Chemistry,College of Sciences,Chemistry; Chemistry; Carbon Electronics
Martin Thuo,Materials Science and Engineering,College of Engineering,Materials Science and Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Zeljko Pantic,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Coastal Resilience and Sustainability Initiative
Lilian Hsiao,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Global One Health Academy
Thomas LaBean,Materials Science and Engineering,College of Engineering,Materials Science and Engineering
Jonathan Lindsey,Chemistry,College of Sciences,Genomic Sciences; Chemistry; Comparative Medicine Institute
Catherine Davis,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences"
Amay Bandodkar,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; Global One Health Academy
Abraham Vazquez-Guardado,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; Global One Health Academy
Xingcheng Lin,Physics,College of Sciences,Physics; Genetics and Genomics Academy; Physics; Bioinformatics; Global One Health Academy; Bioinformatics Research Center
Hantao Cui,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Fernando Garcia Menendez,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Center for Geospatial Analytics; Global One Health Academy"
Orlin Velev,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Coastal Resilience and Sustainability Initiative; Advanced Self Powered Systems of Sensors and Technologies Center
Lina Battestilli,Computer Science,College of Engineering,Computer Science
Alper Bozkurt,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Coastal Resilience and Sustainability Initiative; Advanced Self Powered Systems of Sensors and Technologies Center; N.C. Plant Sciences Initiative
Debjani Sihi,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; N.C. Plant Sciences Initiative
Iqbal Husain,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Coastal Resilience and Sustainability Initiative
Casey Dietrich,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative; KIETS Climate Leaders Program"
Jennifer Burnette,Psychology,College of Humanities and Social Sciences,Psychology
Jeffrey Pollack,"Management, Innovation and Entrepreneurship",Poole College of Management,"Management, Innovation and Entrepreneurship; Global One Health Academy"
Michelle McMullin,English,College of Humanities and Social Sciences,English
James Bonner,Biological Sciences,College of Sciences,Comparative Medicine Institute; Biological Sciences; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment 
Julie Balko,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences
David Knazovicky,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Margaret Gruen,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Benedict Lascelles,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Kai Lan,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Global One Health Academy
Ali Gurbuz,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Meghan Manfra,Teacher Education and Learning Sciences,College of Education,Education; Teacher Education and Learning Sciences; Advanced Self Powered Systems of Sensors and Technologies Center
David Muddiman,Chemistry,College of Sciences,"Chemistry; Comparative Medicine Institute; Molecular Education, Technology and Research Innovation Center; Center for Environmental and Health Effects of PFAS; Molecular Education, Technology and Research Innovation Center; Center for Human Health and the Environment "
Mihai Diaconeasa,Nuclear Engineering,College of Engineering,Nuclear Engineering; Coastal Resilience and Sustainability Initiative
David Buchwalter,Biological Sciences,College of Sciences,Biological Sciences; Center for Environmental and Health Effects of PFAS; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment ; Coastal Resilience and Sustainability Initiative
Anderson de Queiroz,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global One Health Academy"
Lydia Love,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences
Regina Schoenfeld,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences
Frank Mueller,Computer Science,College of Engineering,Computer Science
Lenin Villamizar Martinez,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Mihai Diaconeasa,Nuclear Engineering,College of Engineering,Nuclear Engineering; Coastal Resilience and Sustainability Initiative
Byoungho Jin,"Textile and Apparel, Technology and Management",Wilson College of Textiles,"Textile and Apparel, Technology and Management"
Wenyuan Tang,Electrical and Computer Engineering,College of Engineering,Energy Collaborative; Electrical and Computer Engineering; Electrical and Computer Engineering; Sustainable Energy Systems and Policy
Mesut Baran,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
Daryoosh Vashaee,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Nathan Hostetter,Applied Ecology,College of Agriculture and Life Sciences,Forestry and Environmental Resources; Applied Ecology
Marie Muller,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering; Comparative Medicine Institute
Craig Harms,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Coastal and Marine Sciences Program; Coastal Resilience and Sustainability Initiative
Maria Avramova,Nuclear Engineering,College of Engineering,Nuclear Engineering
Abhinav Gupta,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Center for Nuclear Energy Facilities and Structures"
Nam Dinh,Nuclear Engineering,College of Engineering,Nuclear Engineering; Center for Nuclear Energy Facilities and Structures
Daniel Obenour,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global Water, Sanitation and Hygiene; Center for Geospatial Analytics; Coastal Resilience and Sustainability Initiative; Civil, Construction and Environmental Engineering; Science and Technologies for Phosphorus Sustainability Center"
Giorgio Proestos,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative; Center for Nuclear Energy Facilities and Structures"
Luca David Opromolla,Economics,Poole College of Management,Economics
Matthew Breen,Molecular Biomedical Sciences,College of Veterinary Medicine,Genomic Sciences; Comparative Medicine Institute; Molecular Biomedical Sciences; Genetics and Genomics Academy; Molecular Biomedical Sciences; Toxicology Programs; Molecular Biomedical Sciences; Molecular Biomedical Sciences; Center for Human Health and the Environment 
Mark Darhower,World Languages and Cultures,College of Humanities and Social Sciences,World Languages and Cultures
Nitin Sharma,Biomedical Engineering,College of Engineering,Biomedical Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Manuel Kleiner,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; Plant and Microbial Biology; Genetics and Genomics Academy; Comparative Medicine Institute; Center for Integrated Fungal Research; Global One Health Academy; Plant and Microbial Biology; Microbiomes and Complex Microbial Communities; N.C. Plant Sciences Initiative
Daniel Obenour,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global Water, Sanitation and Hygiene; Center for Geospatial Analytics; Coastal Resilience and Sustainability Initiative; Civil, Construction and Environmental Engineering; Science and Technologies for Phosphorus Sustainability Center"
Brandon McConnell,Edward P. Fitts Department of Industrial & Systems Engineering,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Center for Additive Manufacturing and Logistics; Operations Research
Daniel Obenour,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global Water, Sanitation and Hygiene; Center for Geospatial Analytics; Coastal Resilience and Sustainability Initiative; Civil, Construction and Environmental Engineering; Science and Technologies for Phosphorus Sustainability Center"
Jonathan Miller,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering"
Katie Sanders,Agricultural and Human Sciences,College of Agriculture and Life Sciences,Agricultural and Human Sciences; N.C. Plant Sciences Initiative
Benjamin Underwood,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Coastal Resilience and Sustainability Initiative"
Richard Venditti,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Coastal Resilience and Sustainability Initiative
Detlef Knappe,"Civil, Construction and Environmental Engineering",College of Engineering,"Civil, Construction and Environmental Engineering; Global Water, Sanitation and Hygiene; Army ROTC; Center for Environmental and Health Effects of PFAS; Civil, Construction and Environmental Engineering; Toxicology Programs; Center for Human Health and the Environment ; Civil, Construction and Environmental Engineering; Science and Technologies for Phosphorus Sustainability Center; N.C. Plant Sciences Initiative"
Charlie Clarke,Finance,Poole College of Management,Finance
Lincoln Larson,"Parks, Recreation and Tourism Management",College of Natural Resources,"Parks, Recreation and Tourism Management; KIETS Climate Leaders Program"
Thayer Morrill,Economics,Poole College of Management,Economics
Tiffany Barnes,Computer Science,College of Engineering,Digital Transformation of Education; Computer Science; Center for Educational Informatics
Min Chi,Computer Science,College of Engineering,Computer Science; Digital Transformation of Education; Center for Educational Informatics
Tiffany Barnes,Computer Science,College of Engineering,Digital Transformation of Education; Computer Science; Center for Educational Informatics
William Phan,Economics,Poole College of Management,Economics
Marie Davidian,Statistics,College of Sciences,Statistics; Comparative Medicine Institute; Precision Medicine
Ismail Guvenc,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Huaiyu Dai,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Ruozhou Yu,Computer Science,College of Engineering,Computer Science
David Muddiman,Chemistry,College of Sciences,"Chemistry; Comparative Medicine Institute; Molecular Education, Technology and Research Innovation Center; Center for Environmental and Health Effects of PFAS; Molecular Education, Technology and Research Innovation Center; Center for Human Health and the Environment "
David Muddiman,Chemistry,College of Sciences,"Chemistry; Comparative Medicine Institute; Molecular Education, Technology and Research Innovation Center; Center for Environmental and Health Effects of PFAS; Molecular Education, Technology and Research Innovation Center; Center for Human Health and the Environment "
Michael Gamcsik,Biomedical Engineering,College of Engineering,Biomedical Engineering
David Muddiman,Chemistry,College of Sciences,"Chemistry; Comparative Medicine Institute; Molecular Education, Technology and Research Innovation Center; Center for Environmental and Health Effects of PFAS; Molecular Education, Technology and Research Innovation Center; Center for Human Health and the Environment "
David Muddiman,Chemistry,College of Sciences,"Chemistry; Comparative Medicine Institute; Molecular Education, Technology and Research Innovation Center; Center for Environmental and Health Effects of PFAS; Molecular Education, Technology and Research Innovation Center; Center for Human Health and the Environment "
Tiegang Fang,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Martin Thuo,Materials Science and Engineering,College of Engineering,Materials Science and Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Subhashish Bhattacharya,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
Huaiyu Dai,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Abraham Vazquez-Guardado,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; Global One Health Academy
Aram Mikaelyan,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Entomology and Plant Pathology; Genetics and Genomics Academy; Global One Health Academy
Aram Mikaelyan,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Entomology and Plant Pathology; Genetics and Genomics Academy; Global One Health Academy
He Huang,Biomedical Engineering,College of Engineering,Biomedical Engineering
Cesar Delgado,"Science, Technology, Engineering, & Mathematics Education",College of Education,"Science, Technology, Engineering, & Mathematics Education"
Hao Su,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Mesut Baran,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
Michelle Russell,Psychology,College of Humanities and Social Sciences,Psychology
Karun Pandit,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources
Kathryn Stevenson,"Parks, Recreation and Tourism Management",College of Natural Resources,"Forestry and Environmental Resources; Parks, Recreation and Tourism Management; Coastal Resilience and Sustainability Initiative; Global One Health Academy"
Lara Pacifici,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources
Nils Peterson,Forestry and Environmental Resources,College of Natural Resources,Genetic Engineering and Society; Forestry and Environmental Resources; Southeast Climate Adaptation Science Center; Global One Health Academy
Maya Kinley-Hanlon,Physics,College of Sciences,Physics
Teresa DeFrancesco,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Genetics and Genomics Academy
Bruce Keene,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Sandra Tou,Clinical Sciences,College of Veterinary Medicine,Veterinary Hospital; Clinical Sciences
Ronald Li,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Sung Woo Kim,Animal Science,College of Agriculture and Life Sciences,Animal Science; Global One Health Academy
Sung Woo Kim,Animal Science,College of Agriculture and Life Sciences,Animal Science; Global One Health Academy
Sandra Yuter,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Center for Geospatial Analytics; Comparative Medicine Institute"
Noboru Matsuda,Computer Science,College of Engineering,Computer Science; Center for Educational Informatics; Computer Science; Digital Transformation of Education
Jung-Ying Tzeng,Statistics,College of Sciences,Statistics; Comparative Medicine Institute; Statistics; Genetics and Genomics Academy; Statistics; Center for Human Health and the Environment ; Bioinformatics Research Center
Peter Ojiambo,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Center for Integrated Fungal Research; Center for Geospatial Analytics
Teresa DeFrancesco,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Genetics and Genomics Academy
Edward Breitschwerdt,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Genomic Sciences; Comparative Medicine Institute; Clinical Sciences; Coastal Resilience and Sustainability Initiative; Clinical Sciences; Global One Health Academy
Margaret Gruen,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Margaret Gruen,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Benedict Lascelles,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Jicai Jiang,Animal Science,College of Agriculture and Life Sciences,Animal Science; Genetics and Genomics Academy
Vasu Kuraparthy,Crop and Soil Sciences,College of Agriculture and Life Sciences,Crop and Soil Sciences; Crop and Soil Sciences; Genetics and Genomics Academy
Trino Ascencio-Ibanez,Molecular and Structural Biochemistry,College of Agriculture and Life Sciences,Molecular and Structural Biochemistry; Genetics and Genomics Academy
Linda Hanley-Bowdoin,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; Genomic Sciences; Genetics; Molecular and Structural Biochemistry; Plant and Microbial Biology; Genetics and Genomics Academy
Natalie Nelson,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Center for Geospatial Analytics; Biological and Agricultural Engineering; Biological and Agricultural Engineering; Coastal Resilience and Sustainability Initiative; KIETS Climate Leaders Program; N.C. Plant Sciences Initiative; Biological and Agricultural Engineering; Science and Technologies for Phosphorus Sustainability Center; Global One Health Academy
Anna Behler,Psychology,College of Humanities and Social Sciences,Psychology
Sung Woo Kim,Animal Science,College of Agriculture and Life Sciences,Animal Science; Global One Health Academy
Christian Maltecca,Animal Science,College of Agriculture and Life Sciences,Animal Science; Animal Science; Genetics and Genomics Academy; Comparative Medicine Institute; Global One Health Academy
David Skaar,Biological Sciences,College of Sciences,Biological Sciences; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment 
Cathrine Hoyo,Biological Sciences,College of Sciences,Biological Sciences; Environmental Health Science; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment 
Cathrine Hoyo,Biological Sciences,College of Sciences,Biological Sciences; Environmental Health Science; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment 
Michael Little,"Educational Leadership, Policy, and Human Development",College of Education,"Educational Leadership, Policy, and Human Development"
Aaron Hipp,"Parks, Recreation and Tourism Management",College of Natural Resources,"Parks, Recreation and Tourism Management; Center for Geospatial Analytics; Parks, Recreation and Tourism Management; Center for Human Health and the Environment ; Global One Health Academy"
Christopher Roland,Physics,College of Sciences,Physics
Keith Weninger,Physics,College of Sciences,Physics; Physics; Genetics and Genomics Academy
Celeste Sagui,Physics,College of Sciences,Physics
Benjamin Reading,Applied Ecology,College of Agriculture and Life Sciences,Applied Ecology; Applied Ecology; Genetics and Genomics Academy; Coastal Resilience and Sustainability Initiative; Global One Health Academy
Natasha Olby,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Cristina Lanzas,Population Health and Pathobiology,College of Veterinary Medicine,Population Health and Pathobiology; Population Health and Pathobiology; Genetics and Genomics Academy; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative; Population Health and Pathobiology; Global One Health Academy
Skylar Hopkins,Applied Ecology,College of Agriculture and Life Sciences,Applied Ecology; Coastal Resilience and Sustainability Initiative; Applied Ecology; Global Environmental Change and Human Well-Being; Global One Health Academy
Peter Early,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
James Kerns,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Center for Turfgrass Environmental Research and Education
Heike Inge Sederoff,Plant and Microbial Biology,College of Agriculture and Life Sciences,Synthetic and Systems Biology; Plant and Microbial Biology; Genetic Engineering and Society; Plant and Microbial Biology; Genetics and Genomics Academy; Plant and Microbial Biology; Genetic Engineering and Society Center; N.C. Plant Sciences Initiative
MaryAnne Drake,"Food, Bioprocessing, and Nutrition Sciences",College of Agriculture and Life Sciences,"Food, Bioprocessing, and Nutrition Sciences; Southeast Dairy Foods Research Center; Food, Bioprocessing, and Nutrition Sciences; Bezos Center for Sustainable Protein"
