name,department,college,affiliation
Sandra Yuter,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Center for Geospatial Analytics; Comparative Medicine Institute"
Nicholas Meskhidze,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Coastal and Marine Sciences Program"
Brian Floyd,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Bernie Hansen,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Clinical Sciences
Karen Munana,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Animal Science; Comparative Medicine Institute
Jeffrey Eells,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences
Sandra Yuter,"Marine, Earth, and Atmospheric Sciences",College of Sciences,"Marine, Earth, and Atmospheric Sciences; Center for Geospatial Analytics; Comparative Medicine Institute"
Subhashish Bhattacharya,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
David Ricketts,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Spyridon Pavlidis,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Jennifer Richmond-Bryant,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources; Forestry and Environmental Resources; Center for Human Health and the Environment ; Center for Geospatial Analytics; Global One Health Academy
Deyu Xie,Plant and Microbial Biology,College of Agriculture and Life Sciences,Plant and Microbial Biology; Plant and Microbial Biology; Genetics and Genomics Academy; Comparative Medicine Institute; Coastal Resilience and Sustainability Initiative
Wujie Wen,Computer Science,College of Engineering,Computer Science
Mihai Diaconeasa,Nuclear Engineering,College of Engineering,Nuclear Engineering; Coastal Resilience and Sustainability Initiative
Kurt Smith,Forestry and Environmental Resources,College of Natural Resources,Forestry and Environmental Resources
Subhashish Bhattacharya,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Energy Collaborative
Benjamin Beeler,Nuclear Engineering,College of Engineering,Nuclear Engineering
Jonathan Lindsey,Chemistry,College of Sciences,Genomic Sciences; Chemistry; Comparative Medicine Institute
Masahiko Taniguchi,Chemistry,College of Sciences,Chemistry
Dali Sun,Physics,College of Sciences,Physics
Shelly Vaden,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute; Clinical Sciences
Allison Kendall,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Matthew Breen,Molecular Biomedical Sciences,College of Veterinary Medicine,Genomic Sciences; Comparative Medicine Institute; Molecular Biomedical Sciences; Genetics and Genomics Academy; Molecular Biomedical Sciences; Toxicology Programs; Molecular Biomedical Sciences; Molecular Biomedical Sciences; Center for Human Health and the Environment 
Glenn Cruse,Molecular Biomedical Sciences,College of Veterinary Medicine,Molecular Biomedical Sciences; Molecular Biomedical Sciences; Comparative Medicine Institute
Gustavo Machado,Population Health and Pathobiology,College of Veterinary Medicine,Center for Geospatial Analytics; Population Health and Pathobiology; Comparative Medicine Institute; Global One Health Academy
Gustavo Machado,Population Health and Pathobiology,College of Veterinary Medicine,Center for Geospatial Analytics; Population Health and Pathobiology; Comparative Medicine Institute; Global One Health Academy
Florence Martin,Teacher Education and Learning Sciences,College of Education,Education; Teacher Education and Learning Sciences; Secure Computing Institute
David Zaharoff,Biomedical Engineering,College of Engineering,Biomedical Engineering; Comparative Medicine Institute
Joanne Intile,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
Michael Mastromauro,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences
Shelly Vaden,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute; Clinical Sciences
Paul Hess,Clinical Sciences,College of Veterinary Medicine,Clinical Sciences; Comparative Medicine Institute
David Zaharoff,Biomedical Engineering,College of Engineering,Biomedical Engineering; Comparative Medicine Institute
Veronica Catete,Computer Science,College of Engineering,Computer Science; Center for Educational Informatics
Tiffany Barnes,Computer Science,College of Engineering,Digital Transformation of Education; Computer Science; Center for Educational Informatics
Julie Swann,Edward P. Fitts Department of Industrial & Systems Engineering,College of Engineering,"Edward P. Fitts Department of Industrial & Systems Engineering; Global Water, Sanitation and Hygiene; Coastal Resilience and Sustainability Initiative; Global One Health Academy"
Maria Mayorga,Engineering Research,College of Engineering,Edward P. Fitts Department of Industrial & Systems Engineering; Precision Medicine; Engineering Research; Global One Health Academy
Florence Martin,Teacher Education and Learning Sciences,College of Education,Education; Teacher Education and Learning Sciences; Secure Computing Institute
Florence Martin,Teacher Education and Learning Sciences,College of Education,Education; Teacher Education and Learning Sciences; Secure Computing Institute
Virginia Riel,Sociology and Anthropology,College of Humanities and Social Sciences,Sociology and Anthropology
Carla Johnson,"Science, Technology, Engineering, & Mathematics Education",College of Education,"William and Ida Friday Institute for Educational Innovation; Science, Technology, Engineering, & Mathematics Education"
Jicai Jiang,Animal Science,College of Agriculture and Life Sciences,Animal Science; Genetics and Genomics Academy
Hooman Tafreshi,Mechanical and Aerospace Engineering,College of Engineering,Mechanical and Aerospace Engineering
Yalcin Yamaner,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
Omer Oralkan,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; N.C. Plant Sciences Initiative
Omer Oralkan,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center; N.C. Plant Sciences Initiative
Yalcin Yamaner,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering
