Name,Affiliation,Topics
Luke Gatiboni,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jan Genzer,"Chemical & Biomolecular Engr, COE","Plant Ecology and Microbial Biology, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Chris Gorman,"Chemistry, COS",
Adrienne Gorny,"Entomology & Plant Pathology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Khara Grieger,"Applied Ecology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Amy Grunden,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Alexey Gulyuk,"Materials Science & Engineering, COE",
Ali Gurbuz,"Electrical & Computer Engineering, COE",
Alejandro Gutierrez-Li,"Agricultural & Resource Econ, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sustainable Ag and Resource Management"
Christine Hawkes,"Plant & Microbial Biology, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Ricardo Hernandez,"Horticultural Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Mark Hoffman,"Horticultural Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jim Holland,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Amanda Hulse-Kemp,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Fikret Isik,"Forestry and Environmental Resources, CNR","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Daniela Jones,"BAE, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Chris Jones,"Ctr. for Geospatial Analytics, CNR","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Jacob Jones,"Materials Science and Engineering, COE","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Gail Jones,"STEM Education, CED",
David Jordan,"Crop & Soil Sciences, CALS","AgTech and Automation, Data Analytics and Modeling, Genetics and Genomics, Knowledge Transfer and Outreach, Plant Ecology and Microbial Biology, Plant Health and Pathology and Pest Mgmt, Policy and Society and Economics, Sensing and Imaging Technologies, Sustainable Ag and Resource Management"
Saad Khan,"Chemical & Biomolecular Engineering, COE",
Tim Kelliher,"Entomology & Plant Pathology, CALS",
